id,brand,item,image,price
1701902,Jaipur Kurti,Jaipur Kurti Women Navy Printed Midi Dress,http://assets.myntassets.com/v1/assets/images/1701902/2016/12/24/11482569659993-Jaipur-Kurti-Women-Navy-Blue-Printed-A-Line-Dress-5661482569659759-1.jpg,619
2359422,IMARA,IMARA Women Black Solid A-Line Top,http://assets.myntassets.com/v1/assets/images/2359422/2018/1/17/11516187973425-IMARA-Women-Black-Solid-A-Line-Top-5981516187973316-1.jpg,599
7094434,AKS,AKS Women Pink & White Printed Maxi Dress,http://assets.myntassets.com/v1/assets/images/7094434/2018/8/8/fc4a2e31-78f0-4a8a-a705-0578757f203a1533721859238-AKS-Women-Dresses-5061533721859122-1.jpg,719
2419829,Hangup,Hangup Men Yellow Solid Straight Kurta,http://assets.myntassets.com/v1/assets/images/2419829/2018/1/23/11516685664248-Hangup-Men-Yellow-Solid-Straight-Kurta-7581516685664067-1.jpg,599
5335068,HERE&NOW,HERE&NOW Women Beige & Maroon Printed Flared Palazzos,http://assets.myntassets.com/v1/assets/images/5335068/2018/7/31/b7a2a530-aee9-4edf-abef-86d36f13a9721533017574451-HERENOW-Women-Beige--Red-Printed-Wide-Leg-Palazzos-7011533017574280-1.jpg,559
2075011,Global Desi,Global Desi Women Pink Printed Straight Kurta,http://assets.myntassets.com/v1/assets/images/2075011/2018/11/15/e9407591-e1a3-41f7-aceb-f508055a9eec1542280437565-Global-Desi-Women-Pink-Printed-Straight-Kurta-13015422804352-1.jpg,689
8350201,Sangria,Sangria Women Pink & Off-White Printed Straight Kurta,http://assets.myntassets.com/v1/assets/images/8350201/2019/2/12/1cda053d-9466-4061-8f2e-e69bb97f4fe71549969556290-Printed-Band-Collar-Straight-Fit-Kurta-With-34th-Sleeves-753-1.jpg,499
6934765,GERUA,GERUA Women Maroon & Beige Printed Midi A-Line Dress,http://assets.myntassets.com/v1/assets/images/6934765/2018/7/26/68414ce6-2dd3-4506-be55-e9d580776cc71532583309324-GERUA-Women-Maroon-Printed-Maxi-Dress-5881532583309118-1.jpg,584
7489683,Anouk,Anouk Women Navy Blue Printed Straight Kurta,http://assets.myntassets.com/v1/assets/images/7489683/2018/11/23/46fe64c5-8711-4523-ba20-b3318e79c9ba1542951435948-Anouk-Women-Navy-Blue-Printed-Straight-Kurta-172154295143426-1.jpg,559
7241420,Dupatta Bazaar,Dupatta Bazaar Multicoloured Colourblocked Dupatta,http://assets.myntassets.com/v1/assets/images/7241420/2018/9/8/f824f563-79d6-4e5a-9df3-4cba9e565e1d1536395042763-Dupatta-Bazaar-Women-Dupatta-2451536395042615-1.jpg,454
2203043,Nature Casuals,Nature Casuals Men Blue Solid Straight Kurta,http://assets.myntassets.com/v1/assets/images/2203043/2017/11/18/11510992042161-Nature-Casuals-Men-Blue-Solid-Straight-Kurta-6431510992042038-1.jpg,701
